Species,Accepted,Class,Order,Family,Mass,Mass imputed
Bufo calamita,Epidalea calamita,Amphibia,Anura,Bufonidae,50.22,FALSE
Rana latastei,Rana latastei,Amphibia,Anura,Ranidae,0.10597710336560145,TRUE
Salamandra atra,Salamandra atra,Amphibia,Caudata,Salamandridae,8.2,FALSE
Salamandra lanzai,Salamandra lanzai,Amphibia,Caudata,Salamandridae,12.2,FALSE
Salamandra salamandra,Salamandra salamandra,Amphibia,Caudata,Salamandridae,35.23,FALSE
Accipiter gentilis,Accipiter gentilis,Aves,Accipitriformes,Accipitridae,866.04,FALSE
Accipiter nisus,Accipiter nisus,Aves,Accipitriformes,Accipitridae,220.79,FALSE
Aquila pomarina,Aquila pomarina,Aves,Accipitriformes,Accipitridae,1359.41,FALSE
Buteo buteo,Buteo buteo,Aves,Accipitriformes,Accipitridae,759.1,FALSE
Circus aeruginosus,Circus aeruginosus,Aves,Accipitriformes,Accipitridae,704.07,FALSE
Pernis apivorus,Pernis apivorus,Aves,Accipitriformes,Accipitridae,754.37,FALSE
Anas clypeata,Anas clypeata,Aves,Anseriformes,Anatidae,612.56,FALSE
Anas crecca,Anas crecca,Aves,Anseriformes,Anatidae,341.89,FALSE
Anas platyrhynchos,Anas platyrhynchos,Aves,Anseriformes,Anatidae,843.42,FALSE
Anas querquedula,Anas querquedula,Aves,Anseriformes,Anatidae,325.6,FALSE
Anas strepera,Anas strepera,Aves,Anseriformes,Anatidae,915.58,FALSE
Anser anser,Anser anser,Aves,Anseriformes,Anatidae,3302.41,FALSE
Aythya ferina,Aythya ferina,Aves,Anseriformes,Anatidae,822.99,FALSE
Aythya fuligula,Aythya fuligula,Aves,Anseriformes,Anatidae,701.17,FALSE
Aythya nyroca,Aythya nyroca,Aves,Anseriformes,Anatidae,574,FALSE
Bucephala clangula,Bucephala clangula,Aves,Anseriformes,Anatidae,918.56,FALSE
Cygnus olor,Cygnus olor,Aves,Anseriformes,Anatidae,10682.04,FALSE
Mergus serrator,Mergus serrator,Aves,Anseriformes,Anatidae,1015.17,FALSE
Netta rufina,Netta rufina,Aves,Anseriformes,Anatidae,1118,FALSE
