MSW3_ID,Scientific,MSWFamilyLatin,Diet.Inv,Diet.Vend,Diet.Vect,Diet.Vfish,Diet.Vunk,Diet.Scav,Diet.Fruit,Diet.Nect,Diet.Seed,Diet.PlantO,Diet.Source,Diet.Certainty,ForStrat.Value,ForStrat.Certainty,ForStrat.Comment,Activity.Nocturnal,Activity.Crepuscular,Activity.Diurnal,Activity.Source,Activity.Certainty,BodyMass.Value.g,BodyMass.Source,BodyMass.SpecLevel,Species,plant,animal,diet.elton
1,Tachyglossus aculeatus,Tachyglossidae,100,0,0,0,0,0,0,0,0,0,Ref_1,ABC,G,A,,1,1,0,Ref_1,ABC,3025,Ref_117,1,Tachyglossus aculeatus,0,100,carnivore
2,Zaglossus attenboroughi,Tachyglossidae,100,0,0,0,0,0,0,0,0,0,Ref_65,ABC,G,A,,1,0,0,Ref_1,ABC,8532.39,"Ref_2, Ref_3",0,Zaglossus attenboroughi,0,100,carnivore
3,Zaglossus bartoni,Tachyglossidae,100,0,0,0,0,0,0,0,0,0,Ref_2,D1,G,A,,1,0,0,Ref_1,ABC,7180,Ref_131,1,Zaglossus bartoni,0,100,carnivore
4,Zaglossus bruijni,Tachyglossidae,100,0,0,0,0,0,0,0,0,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,10139.5,Ref_117,1,Zaglossus bruijni,0,100,carnivore
5,Ornithorhynchus anatinus,Ornithorhynchidae,80,0,0,20,0,0,0,0,0,0,Ref_1,ABC,G,A,,1,1,1,Ref_1,ABC,1484.25,Ref_117,1,Ornithorhynchus anatinus,0,100,carnivore
6,Caluromys philander,Didelphidae,20,0,0,0,10,0,20,0,10,40,Ref_1,ABC,Ar,A,,1,1,0,Ref_1,ABC,229.25,Ref_117,1,Caluromys philander,70,30,omnivore
7,Caluromys derbianus,Didelphidae,20,0,0,0,10,0,20,0,10,40,Ref_1,ABC,Ar,A,,1,1,0,Ref_1,ABC,297,Ref_117,1,Caluromys derbianus,70,30,omnivore
8,Caluromys lanatus,Didelphidae,20,0,0,0,10,0,20,0,10,40,Ref_1,ABC,Ar,A,,1,1,0,Ref_1,ABC,325,Ref_117,1,Caluromys lanatus,70,30,omnivore
9,Caluromysiops irrupta,Didelphidae,20,0,0,0,0,0,20,40,0,20,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,250,Ref_117,1,Caluromysiops irrupta,80,20,omnivore
10,Glironia venusta,Didelphidae,40,0,0,0,20,0,20,0,20,0,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,114,Ref_117,1,Glironia venusta,40,60,omnivore
11,Chironectes minimus,Didelphidae,50,0,0,30,0,0,0,0,0,20,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,946,Ref_117,1,Chironectes minimus,20,80,omnivore
