Species_ID,body_mass_g,body_length_max_mm,Class,Order,Family,Species
A1,NA,50,Amphibia,Anura,Alytidae,Alytes cisternasii
A2,NA,56.5,Amphibia,Anura,Alytidae,Alytes dickhilleni
A3,NA,40,Amphibia,Anura,Alytidae,Alytes muletensis
A4,NA,55,Amphibia,Anura,Alytidae,Alytes obstetricans
A77,NA,124,Amphibia,Caudata,Plethodontidae,Atylodes genei
A5,NA,50,Amphibia,Anura,Bombinatoridae,Bombina bombina
A6,NA,60,Amphibia,Anura,Bombinatoridae,Bombina pachypus
A7,NA,60,Amphibia,Anura,Bombinatoridae,Bombina variegata
A8,NA,220,Amphibia,Anura,Bufonidae,Bufo bufo
A10,NA,190,Amphibia,Anura,Bufonidae,Bufo verrucosissimus
A99,NA,102,Amphibia,Caudata,Salamandridae,Calotriton arnoldi
A18,NA,170,Amphibia,Caudata,Salamandridae,Calotriton asper
A12,NA,164,Amphibia,Caudata,Salamandridae,Chioglossa lusitanica
A13,NA,65,Amphibia,Anura,Alytidae,Discoglossus galganoi
A14,NA,63,Amphibia,Anura,Alytidae,Discoglossus jeanneae
A15,NA,65,Amphibia,Anura,Alytidae,Discoglossus montalentii
A16,NA,65,Amphibia,Anura,Alytidae,Discoglossus pictus
A17,NA,75,Amphibia,Anura,Alytidae,Discoglossus sardus
A9,NA,100,Amphibia,Anura,Bufonidae,Epidalea calamita
A19,NA,110,Amphibia,Caudata,Salamandridae,Euproctus montanus
A20,NA,140,Amphibia,Caudata,Salamandridae,Euproctus platycephalus
A21,NA,60,Amphibia,Anura,Hylidae,Hyla arborea
A22,NA,55,Amphibia,Anura,Hylidae,Hyla intermedia
A23,NA,65,Amphibia,Anura,Hylidae,Hyla meridionalis
A24,NA,50,Amphibia,Anura,Hylidae,Hyla sarda
A25,NA,50,Amphibia,Anura,Hylidae,Hyla savignyi
A84,NA,97,Amphibia,Caudata,Salamandridae,Lissotriton boscai
A88,NA,95,Amphibia,Caudata,Salamandridae,Lissotriton helveticus
A89,NA,95,Amphibia,Caudata,Salamandridae,Lissotriton italicus
A92,NA,100,Amphibia,Caudata,Salamandridae,Lissotriton montandoni
A95,NA,117,Amphibia,Caudata,Salamandridae,Lissotriton vulgaris
A26,NA,139,Amphibia,Caudata,Salamandridae,Lyciasalamandra antalyana
A27,NA,164,Amphibia,Caudata,Salamandridae,Lyciasalamandra atifi
A28,NA,139,Amphibia,Caudata,Salamandridae,Lyciasalamandra billae
A29,NA,125,Amphibia,Caudata,Salamandridae,Lyciasalamandra fazilae
A30,NA,124,Amphibia,Caudata,Salamandridae,Lyciasalamandra flavimembris
A31,NA,140,Amphibia,Caudata,Salamandridae,Lyciasalamandra helverseni
A32,NA,131,Amphibia,Caudata,Salamandridae,Lyciasalamandra luschani
A33,NA,208,Amphibia,Caudata,Salamandridae,Mertensiella caucasica
A83,NA,130,Amphibia,Caudata,Salamandridae,Mesotriton alpestris
A34,NA,180,Amphibia,Caudata,Salamandridae,Neurergus crocatus
A35,NA,190,Amphibia,Caudata,Salamandridae,Neurergus strauchii
A97,NA,170,Amphibia,Caudata,Salamandridae,Ommatotriton ophryticus
A94,NA,150,Amphibia,Caudata,Salamandridae,Ommatotriton vittatus
A36,NA,125,Amphibia,Anura,Pelobatidae,Pelobates cultripes
A37,NA,80,Amphibia,Anura,Pelobatidae,Pelobates fuscus
A38,NA,90,Amphibia,Anura,Pelobatidae,Pelobates syriacus
A39,NA,52,Amphibia,Anura,Pelodytidae,Pelodytes caucasicus
A40,NA,43,Amphibia,Anura,Pelodytidae,Pelodytes ibericus
A41,NA,47,Amphibia,Anura,Pelodytidae,Pelodytes punctatus
A45,NA,93,Amphibia,Anura,Ranidae,Pelophylax bedriagae
A46,NA,80,Amphibia,Anura,Ranidae,Pelophylax bergeri
A96,NA,89,Amphibia,Anura,Ranidae,Pelophylax caralitanus
A47,NA,41,Amphibia,Anura,Ranidae,Pelophylax cerigensis
A48,NA,70,Amphibia,Anura,Ranidae,Pelophylax cretensis
A50,NA,83,Amphibia,Anura,Ranidae,Pelophylax epeiroticus
A51,NA,120,Amphibia,Anura,Ranidae,Pelophylax esculentus
A53,NA,100,Amphibia,Anura,Ranidae,Pelophylax grafi
A54,NA,83,Amphibia,Anura,Ranidae,Pelophylax hispanicus
A57,NA,76,Amphibia,Anura,Ranidae,Pelophylax kurtmuelleri
A59,NA,83,Amphibia,Anura,Ranidae,Pelophylax lessonae
A61,NA,100,Amphibia,Anura,Ranidae,Pelophylax perezi
A63,NA,135,Amphibia,Anura,Ranidae,Pelophylax ridibundus
A64,NA,74,Amphibia,Anura,Ranidae,Pelophylax shqipericus
A42,NA,312,Amphibia,Caudata,Salamandridae,Pleurodeles waltl
A43,NA,250,Amphibia,Caudata,Proteidae,Proteus anguinus
A100,NA,85,Amphibia,Anura,Bufonidae,Pseudepidalea balearica
A101,NA,85,Amphibia,Anura,Bufonidae,Pseudepidalea boulengeri
A102,NA,85,Amphibia,Anura,Bufonidae,Pseudepidalea sicula
A103,NA,85,Amphibia,Anura,Bufonidae,Pseudepidalea variabilis
A11,NA,85,Amphibia,Anura,Bufonidae,Pseudepidalea viridis
A44,NA,80,Amphibia,Anura,Ranidae,Rana arvalis
A49,NA,90,Amphibia,Anura,Ranidae,Rana dalmatina
A52,NA,80,Amphibia,Anura,Ranidae,Rana graeca
A98,NA,NA,Amphibia,Anura,Ranidae,Rana holtzi
A55,NA,50,Amphibia,Anura,Ranidae,Rana iberica
A56,NA,64,Amphibia,Anura,Ranidae,Rana italica
A58,NA,60,Amphibia,Anura,Ranidae,Rana latastei
A60,NA,NA,Amphibia,Anura,Ranidae,Rana macrocnemis
A62,NA,50,Amphibia,Anura,Ranidae,Rana pyrenaica
A65,NA,NA,Amphibia,Anura,Ranidae,Rana tavasensis
A66,NA,110,Amphibia,Anura,Ranidae,Rana temporaria
A67,NA,151,Amphibia,Caudata,Salamandridae,Salamandra atra
A68,NA,210,Amphibia,Caudata,Salamandridae,Salamandra corsica
A69,NA,324,Amphibia,Caudata,Salamandridae,Salamandra infraimmaculata
A70,NA,190,Amphibia,Caudata,Salamandridae,Salamandra lanzai
A71,NA,280,Amphibia,Caudata,Salamandridae,Salamandra salamandra
A72,NA,140,Amphibia,Caudata,Hynobiidae,Salamandrella keyserlingii
A73,NA,134,Amphibia,Caudata,Salamandridae,Salamandrina perspicillata
A74,NA,88,Amphibia,Caudata,Salamandridae,Salamandrina terdigitata
A75,NA,116,Amphibia,Caudata,Plethodontidae,Speleomantes ambrosii
A76,NA,146,Amphibia,Caudata,Plethodontidae,Speleomantes flavus
