Species_ID,body_mass_g,body_length_max_mm,Class,Order,Family,Species,body_mass_databases,new_body_mass_g
A1,NA,50,Amphibia,Anura,Alytidae,Alytes cisternasii,6.1,6.1
A2,NA,56.5,Amphibia,Anura,Alytidae,Alytes dickhilleni,NA,NA
A3,NA,40,Amphibia,Anura,Alytidae,Alytes muletensis,2.31,2.31
A4,NA,55,Amphibia,Anura,Alytidae,Alytes obstetricans,13.4,13.4
A77,NA,124,Amphibia,Caudata,Plethodontidae,Atylodes genei,3.92,3.92
A5,NA,50,Amphibia,Anura,Bombinatoridae,Bombina bombina,5.9,5.9
A6,NA,60,Amphibia,Anura,Bombinatoridae,Bombina pachypus,NA,NA
A7,NA,60,Amphibia,Anura,Bombinatoridae,Bombina variegata,6.77,6.77
A8,NA,220,Amphibia,Anura,Bufonidae,Bufo bufo,164.75,164.75
A10,NA,190,Amphibia,Anura,Bufonidae,Bufo verrucosissimus,NA,NA
A99,NA,102,Amphibia,Caudata,Salamandridae,Calotriton arnoldi,NA,NA
A18,NA,170,Amphibia,Caudata,Salamandridae,Calotriton asper,7.1,7.1
A12,NA,164,Amphibia,Caudata,Salamandridae,Chioglossa lusitanica,4.2,4.2
A13,NA,65,Amphibia,Anura,Alytidae,Discoglossus galganoi,21.8,21.8
A14,NA,63,Amphibia,Anura,Alytidae,Discoglossus jeanneae,NA,NA
A15,NA,65,Amphibia,Anura,Alytidae,Discoglossus montalentii,NA,NA
A16,NA,65,Amphibia,Anura,Alytidae,Discoglossus pictus,22.05,22.05
A17,NA,75,Amphibia,Anura,Alytidae,Discoglossus sardus,NA,NA
A9,NA,100,Amphibia,Anura,Bufonidae,Epidalea calamita,62.7,62.7
A19,NA,110,Amphibia,Caudata,Salamandridae,Euproctus montanus,2.5,2.5
A20,NA,140,Amphibia,Caudata,Salamandridae,Euproctus platycephalus,5.1,5.1
A21,NA,60,Amphibia,Anura,Hylidae,Hyla arborea,9.5,9.5
A22,NA,55,Amphibia,Anura,Hylidae,Hyla intermedia,6.27,6.27
A23,NA,65,Amphibia,Anura,Hylidae,Hyla meridionalis,3.11,3.11
A24,NA,50,Amphibia,Anura,Hylidae,Hyla sarda,4,4
A25,NA,50,Amphibia,Anura,Hylidae,Hyla savignyi,NA,NA
A84,NA,97,Amphibia,Caudata,Salamandridae,Lissotriton boscai,1.77,1.77
A88,NA,95,Amphibia,Caudata,Salamandridae,Lissotriton helveticus,1.8,1.8
A89,NA,95,Amphibia,Caudata,Salamandridae,Lissotriton italicus,0.98,0.98
A92,NA,100,Amphibia,Caudata,Salamandridae,Lissotriton montandoni,2.6,2.6
A95,NA,117,Amphibia,Caudata,Salamandridae,Lissotriton vulgaris,3.1,3.1
A26,NA,139,Amphibia,Caudata,Salamandridae,Lyciasalamandra antalyana,NA,NA
A27,NA,164,Amphibia,Caudata,Salamandridae,Lyciasalamandra atifi,NA,NA
A28,NA,139,Amphibia,Caudata,Salamandridae,Lyciasalamandra billae,NA,NA
A29,NA,125,Amphibia,Caudata,Salamandridae,Lyciasalamandra fazilae,NA,NA
A30,NA,124,Amphibia,Caudata,Salamandridae,Lyciasalamandra flavimembris,NA,NA
A31,NA,140,Amphibia,Caudata,Salamandridae,Lyciasalamandra helverseni,NA,NA
A32,NA,131,Amphibia,Caudata,Salamandridae,Lyciasalamandra luschani,7.8,7.8
A33,NA,208,Amphibia,Caudata,Salamandridae,Mertensiella caucasica,9.8,9.8
A83,NA,130,Amphibia,Caudata,Salamandridae,Mesotriton alpestris,NA,NA
A34,NA,180,Amphibia,Caudata,Salamandridae,Neurergus crocatus,13.4,13.4
A35,NA,190,Amphibia,Caudata,Salamandridae,Neurergus strauchii,NA,NA
A97,NA,170,Amphibia,Caudata,Salamandridae,Ommatotriton ophryticus,NA,NA
A94,NA,150,Amphibia,Caudata,Salamandridae,Ommatotriton vittatus,8.1,8.1
A36,NA,125,Amphibia,Anura,Pelobatidae,Pelobates cultripes,40,40
A37,NA,80,Amphibia,Anura,Pelobatidae,Pelobates fuscus,29.4,29.4
A38,NA,90,Amphibia,Anura,Pelobatidae,Pelobates syriacus,NA,NA
A39,NA,52,Amphibia,Anura,Pelodytidae,Pelodytes caucasicus,NA,NA
A40,NA,43,Amphibia,Anura,Pelodytidae,Pelodytes ibericus,4.87,4.87
A41,NA,47,Amphibia,Anura,Pelodytidae,Pelodytes punctatus,3.03,3.03
A45,NA,93,Amphibia,Anura,Ranidae,Pelophylax bedriagae,NA,NA
A46,NA,80,Amphibia,Anura,Ranidae,Pelophylax bergeri,NA,NA
A96,NA,89,Amphibia,Anura,Ranidae,Pelophylax caralitanus,135,135
A47,NA,41,Amphibia,Anura,Ranidae,Pelophylax cerigensis,NA,NA
A48,NA,70,Amphibia,Anura,Ranidae,Pelophylax cretensis,NA,NA
A50,NA,83,Amphibia,Anura,Ranidae,Pelophylax epeiroticus,59.02,59.02
A51,NA,120,Amphibia,Anura,Ranidae,Pelophylax esculentus,NA,NA
A53,NA,100,Amphibia,Anura,Ranidae,Pelophylax grafi,NA,NA
A54,NA,83,Amphibia,Anura,Ranidae,Pelophylax hispanicus,NA,NA
A57,NA,76,Amphibia,Anura,Ranidae,Pelophylax kurtmuelleri,NA,NA
A59,NA,83,Amphibia,Anura,Ranidae,Pelophylax lessonae,75.4,75.4
A61,NA,100,Amphibia,Anura,Ranidae,Pelophylax perezi,31.8,31.8
A63,NA,135,Amphibia,Anura,Ranidae,Pelophylax ridibundus,75.4,75.4
A64,NA,74,Amphibia,Anura,Ranidae,Pelophylax shqipericus,NA,NA
A42,NA,312,Amphibia,Caudata,Salamandridae,Pleurodeles waltl,25.8,25.8
