Species,Accepted,Class,Order,Family
Bufo calamita,Epidalea calamita,Amphibia,Anura,Bufonidae
Rana latastei,Rana latastei,Amphibia,Anura,Ranidae
Salamandra atra,Salamandra atra,Amphibia,Caudata,Salamandridae
Salamandra lanzai,Salamandra lanzai,Amphibia,Caudata,Salamandridae
Salamandra salamandra,Salamandra salamandra,Amphibia,Caudata,Salamandridae
Accipiter gentilis,Accipiter gentilis,Aves,Accipitriformes,Accipitridae
Accipiter nisus,Accipiter nisus,Aves,Accipitriformes,Accipitridae
Aquila pomarina,Aquila pomarina,Aves,Accipitriformes,Accipitridae
Buteo buteo,Buteo buteo,Aves,Accipitriformes,Accipitridae
Circus aeruginosus,Circus aeruginosus,Aves,Accipitriformes,Accipitridae
Pernis apivorus,Pernis apivorus,Aves,Accipitriformes,Accipitridae
Anas clypeata,Anas clypeata,Aves,Anseriformes,Anatidae
Anas crecca,Anas crecca,Aves,Anseriformes,Anatidae
Anas platyrhynchos,Anas platyrhynchos,Aves,Anseriformes,Anatidae
Anas querquedula,Anas querquedula,Aves,Anseriformes,Anatidae
Anas strepera,Anas strepera,Aves,Anseriformes,Anatidae
Anser anser,Anser anser,Aves,Anseriformes,Anatidae
Aythya ferina,Aythya ferina,Aves,Anseriformes,Anatidae
Aythya fuligula,Aythya fuligula,Aves,Anseriformes,Anatidae
Aythya nyroca,Aythya nyroca,Aves,Anseriformes,Anatidae
Bucephala clangula,Bucephala clangula,Aves,Anseriformes,Anatidae
Cygnus olor,Cygnus olor,Aves,Anseriformes,Anatidae
Mergus serrator,Mergus serrator,Aves,Anseriformes,Anatidae
Netta rufina,Netta rufina,Aves,Anseriformes,Anatidae
Apus apus,Apus apus,Aves,Apodiformes,Apodidae
Upupa epops,Upupa epops,Aves,Bucerotiformes,Upupidae
Burhinus oedicnemus,Burhinus oedicnemus,Aves,Charadriiformes,Burhinidae
Charadrius dubius,Charadrius dubius,Aves,Charadriiformes,Charadriidae
Charadrius hiaticula,Charadrius hiaticula,Aves,Charadriiformes,Charadriidae
Pluvialis apricaria,Pluvialis apricaria,Aves,Charadriiformes,Charadriidae
Vanellus vanellus,Vanellus vanellus,Aves,Charadriiformes,Charadriidae
Haematopus ostralegus,Haematopus ostralegus,Aves,Charadriiformes,Haematopodidae
Chlidonias niger,Chlidonias niger,Aves,Charadriiformes,Laridae
Larus argentatus,Larus argentatus,Aves,Charadriiformes,Laridae
Larus canus,Larus canus,Aves,Charadriiformes,Laridae
Larus fuscus,Larus fuscus,Aves,Charadriiformes,Laridae
Larus ridibundus,Chroicocephalus ridibundus,Aves,Charadriiformes,Laridae
Sterna albifrons,Sternula albifrons,Aves,Charadriiformes,Laridae
Sterna hirundo,Sterna hirundo,Aves,Charadriiformes,Laridae
Sterna paradisaea,Sterna paradisaea,Aves,Charadriiformes,Laridae
Recurvirostra avosetta,Recurvirostra avosetta,Aves,Charadriiformes,Recurvirostridae
Actitis hypoleucos,Actitis hypoleucos,Aves,Charadriiformes,Scolopacidae
Gallinago gallinago,Gallinago gallinago,Aves,Charadriiformes,Scolopacidae
Limosa limosa,Limosa limosa,Aves,Charadriiformes,Scolopacidae
Numenius arquata,Numenius arquata,Aves,Charadriiformes,Scolopacidae
Scolopax rusticola,Scolopax rusticola,Aves,Charadriiformes,Scolopacidae
Tringa glareola,Tringa glareola,Aves,Charadriiformes,Scolopacidae
Tringa ochropus,Tringa ochropus,Aves,Charadriiformes,Scolopacidae
Tringa totanus,Tringa totanus,Aves,Charadriiformes,Scolopacidae
Columba livia,Columba livia,Aves,Columbiformes,Columbidae
Columba oenas,Columba oenas,Aves,Columbiformes,Columbidae
Columba palumbus,Columba palumbus,Aves,Columbiformes,Columbidae
Streptopelia decaocto,Streptopelia decaocto,Aves,Columbiformes,Columbidae
Streptopelia turtur,Streptopelia turtur,Aves,Columbiformes,Columbidae
Alcedo atthis,Alcedo atthis,Aves,Coraciiformes,Alcedinidae
Cuculus canorus,Cuculus canorus,Aves,Cuculiformes,Cuculidae
Falco subbuteo,Falco subbuteo,Aves,Falconiformes,Falconidae
Falco tinnunculus,Falco tinnunculus,Aves,Falconiformes,Falconidae
Alectoris rufa,Alectoris rufa,Aves,Galliformes,Phasianidae
Bonasa bonasia,Tetrastes bonasia,Aves,Galliformes,Phasianidae
Lagopus lagopus,Lagopus lagopus,Aves,Galliformes,Phasianidae
Perdix perdix,Perdix perdix,Aves,Galliformes,Phasianidae
Phasianus colchicus,Phasianus colchicus,Aves,Galliformes,Phasianidae
Tetrao tetrix,Lyrurus tetrix,Aves,Galliformes,Phasianidae
Tetrao urogallus,Tetrao urogallus,Aves,Galliformes,Phasianidae
Grus grus,Grus grus,Aves,Gruiformes,Gruidae
Crex crex,Crex crex,Aves,Gruiformes,Rallidae
Fulica atra,Fulica atra,Aves,Gruiformes,Rallidae
Gallinula chloropus,Gallinula chloropus,Aves,Gruiformes,Rallidae
Porzana parva,Porzana parva,Aves,Gruiformes,Rallidae
Porzana porzana,Porzana porzana,Aves,Gruiformes,Rallidae
Rallus aquaticus,Rallus aquaticus,Aves,Gruiformes,Rallidae
Otis tarda,Otis tarda,Aves,Otidiformes,Otididae
Tetrax tetrax,Tetrax tetrax,Aves,Otidiformes,Otididae
Aegithalos caudatus,NA,NA,NA,NA
Alauda arvensis,Alauda arvensis,Aves,Passeriformes,Alaudidae
Calandrella brachydactyla,Calandrella brachydactyla,Aves,Passeriformes,Alaudidae
Galerida theklae,Galerida theklae,Aves,Passeriformes,Alaudidae
Lullula arborea,Lullula arborea,Aves,Passeriformes,Alaudidae
Melanocorypha calandra,Melanocorypha calandra,Aves,Passeriformes,Alaudidae
Certhia brachydactyla,Certhia brachydactyla,Aves,Passeriformes,Certhiidae
Certhia familiaris,Certhia familiaris,Aves,Passeriformes,Certhiidae
Cinclus cinclus,Cinclus cinclus,Aves,Passeriformes,Cinclidae
Cisticola juncidis,Cisticola juncidis,Aves,Passeriformes,Cisticolidae
Corvus corax,Corvus corax,Aves,Passeriformes,Corvidae
Corvus corone,Corvus corone,Aves,Passeriformes,Corvidae
Corvus frugilegus,Corvus frugilegus,Aves,Passeriformes,Corvidae
Corvus monedula,Coloeus monedula,Aves,Passeriformes,Corvidae
Cyanopica cyanus,Cyanopica cyanus,Aves,Passeriformes,Corvidae
Garrulus glandarius,Garrulus glandarius,Aves,Passeriformes,Corvidae
Pica pica,Pica pica,Aves,Passeriformes,Corvidae
Emberiza cia,Emberiza cia,Aves,Passeriformes,Emberizidae
Emberiza cirlus,Emberiza cirlus,Aves,Passeriformes,Emberizidae
Emberiza citrinella,Emberiza citrinella,Aves,Passeriformes,Emberizidae
Emberiza hortulana,Emberiza hortulana,Aves,Passeriformes,Emberizidae
Emberiza schoeniclus,Emberiza schoeniclus,Aves,Passeriformes,Emberizidae
Miliaria calandra,Emberiza calandra,Aves,Passeriformes,Emberizidae
Carduelis cannabina,Linaria cannabina,Aves,Passeriformes,Fringillidae
Carduelis carduelis,Carduelis carduelis,Aves,Passeriformes,Fringillidae
Carduelis chloris,Chloris chloris,Aves,Passeriformes,Fringillidae
Carduelis citrinella,Carduelis citrinella,Aves,Passeriformes,Fringillidae
Carduelis flammea,Acanthis flammea,Aves,Passeriformes,Fringillidae
Carduelis spinus,Spinus spinus,Aves,Passeriformes,Fringillidae
Carpodacus erythrinus,Carpodacus erythrinus,Aves,Passeriformes,Fringillidae
