Species ID;ITIS code;Catalogue of Life;Class;Order;Family;Species;Author
A1;662323;v1.9 rev 2126ab0;Amphibia;Anura;Alytidae;Alytes cisternasii;Boscá, 1879 
A2;662324;v1.9 rev 2126ab0;Amphibia;Anura;Alytidae;Alytes dickhilleni;Arntzen and García-París, 1995 
A3;662326;v1.9 rev 2126ab0;Amphibia;Anura;Alytidae;Alytes muletensis;(Sanchíz and Adrover, 1979) 
A4;662327;v1.9 rev 2126ab0;Amphibia;Anura;Alytidae;Alytes obstetricans;(Laurenti, 1768) 
A5;661625;v1.9 rev 2126ab0;Amphibia;Anura;Bombinatoridae;Bombina bombina;(Linnaeus, 1761) 
A6;661631;v1.9 rev 2126ab0;Amphibia;Anura;Bombinatoridae;Bombina pachypus;(Bonaparte, 1838) 
A7;661632;v1.9 rev 2126ab0;Amphibia;Anura;Bombinatoridae;Bombina variegata;(Linnaeus, 1758) 
A8;173480;v1.9 rev 2126ab0;Amphibia;Anura;Bufonidae;Bufo bufo;(Linnaeus, 1758) 
A9;773560;v1.9 rev 2126ab0;Amphibia;Anura;Bufonidae;Epidalea calamita;(Laurenti, 1768) 
A10;585630;v1.9 rev 2126ab0;Amphibia;Anura;Bufonidae;Bufo verrucosissimus;(Pallas, 1814) 
A11;1103405;v1.9 rev 2126ab0;Amphibia;Anura;Bufonidae;Bufotes viridis;(Laurenti, 1768) 
A12;668361;v1.9 rev 2126ab0;Amphibia;Caudata;Salamandridae;Chioglossa lusitanica;Bocage, 1864 
A13;662328;v1.9 rev 2126ab0;Amphibia;Anura;Alytidae;Discoglossus galganoi;Capula, Nascetti, Lanza, Bullini and Crespo, 1985 
A14;662329;v1.9 rev 2126ab0;Amphibia;Anura;Alytidae;Discoglossus jeanneae;Busack, 1986 
A15;773324;v1.9 rev 2126ab0;Amphibia;Anura;Alytidae;Discoglossus montalentii;Lanza, Nascetti, Capula and Bullini, 1984 
A16;662330;v1.9 rev 2126ab0;Amphibia;Anura;Alytidae;Discoglossus pictus;Otth, 1837 
A17;662331;v1.9 rev 2126ab0;Amphibia;Anura;Alytidae;Discoglossus sardus;Tschudi in Otth, 1837 
A18;775916;v1.9 rev 2126ab0;Amphibia;Caudata;Salamandridae;Calotriton asper;(Dugès, 1852) 
A19;668372;v1.9 rev 2126ab0;Amphibia;Caudata;Salamandridae;Euproctus montanus;(Savi, 1838) 
A20;668373;v1.9 rev 2126ab0;Amphibia;Caudata;Salamandridae;Euproctus platycephalus;(Gravenhorst, 1829) 
A21;662424;v1.9 rev 2126ab0;Amphibia;Anura;Hylidae;Hyla arborea;(Linnaeus, 1758) 
A22;662524;v1.9 rev 2126ab0;Amphibia;Anura;Hylidae;Hyla intermedia;Boulenger, 1882 
A23;662563;v1.9 rev 2126ab0;Amphibia;Anura;Hylidae;Hyla meridionalis;Boettger, 1874 
A24;662633;v1.9 rev 2126ab0;Amphibia;Anura;Hylidae;Hyla sarda;(De Betta, 1853) 
A25;662634;v1.9 rev 2126ab0;Amphibia;Anura;Hylidae;Hyla savignyi;Audouin, 1827 
A26;775923;v1.9 rev 2126ab0;Amphibia;Caudata;Salamandridae;Lyciasalamandra antalyana;(Basoglu and Baran, 1976) 
A27;775924;v1.9 rev 2126ab0;Amphibia;Caudata;Salamandridae;Lyciasalamandra atifi;(Basoglu, 1967) 
A28;775925;v1.9 rev 2126ab0;Amphibia;Caudata;Salamandridae;Lyciasalamandra billae;(Franzen and Klewen, 1987) 
A29;775926;v1.9 rev 2126ab0;Amphibia;Caudata;Salamandridae;Lyciasalamandra fazilae;(Basoglu and Atatür, 1975) 
A30;775927;v1.9 rev 2126ab0;Amphibia;Caudata;Salamandridae;Lyciasalamandra flavimembris;(Mutz and Steinfartz, 1995) 
A31;775928;v1.9 rev 2126ab0;Amphibia;Caudata;Salamandridae;Lyciasalamandra helverseni;(Pieper, 1963) 
A32;775929;v1.9 rev 2126ab0;Amphibia;Caudata;Salamandridae;Lyciasalamandra luschani;(Steindachner, 1891) 
A33;668374;v1.9 rev 2126ab0;Amphibia;Caudata;Salamandridae;Mertensiella caucasica;(Waga, 1876) 
A34;668375;v1.9 rev 2126ab0;Amphibia;Caudata;Salamandridae;Neurergus crocatus;Cope, 1862 
A35;668378;v1.9 rev 2126ab0;Amphibia;Caudata;Salamandridae;Neurergus strauchii;(Steindachner, 1887) 
A36;664729;v1.9 rev 2126ab0;Amphibia;Anura;Pelobatidae;Pelobates cultripes;(Cuvier, 1829) 
A37;664730;v1.9 rev 2126ab0;Amphibia;Anura;Pelobatidae;Pelobates fuscus;(Laurenti, 1768) 
A38;664731;v1.9 rev 2126ab0;Amphibia;Anura;Pelobatidae;Pelobates syriacus;Boettger, 1889 
A39;664733;v1.9 rev 2126ab0;Amphibia;Anura;Pelodytidae;Pelodytes caucasicus;Boulenger, 1896 
A40;664734;v1.9 rev 2126ab0;Amphibia;Anura;Pelodytidae;Pelodytes ibericus;Sánchez-Herraíz, Barbadillo-Escrivá, Machordom and Sanchíz, 2000 
A41;664735;v1.9 rev 2126ab0;Amphibia;Anura;Pelodytidae;Pelodytes punctatus;(Daudin, 1802) 
A42;668389;v1.9 rev 2126ab0;Amphibia;Caudata;Salamandridae;Pleurodeles waltl;Michahelles, 1830 
A43;208253;v1.9 rev 2126ab0;Amphibia;Caudata;Proteidae;Proteus anguinus;Laurenti, 1768 
A44;665263;v1.9 rev 2126ab0;Amphibia;Anura;Ranidae;Rana arvalis;Nilsson, 1842 
A45;775178;v1.9 rev 2126ab0;Amphibia;Anura;Ranidae;Pelophylax bedriagae;(Camerano, 1882) 
