Taxon,Binomial,Family,Insular (Y/N),Maximum mass (log10(g)),Appears in fossil record? (Y/N),Reference for body size,Reference for fossil record
Amphisbaenians,Amphisbaena talisiae,Amphisbaenidae,N,-0.548094479,N,"Feldman et al., 2016",
Amphisbaenians,Cynisca degrysi,Amphisbaenidae,N,-0.515259203,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena tragorrhectes,Amphisbaenidae,N,-0.467139511,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena slevini,Amphisbaenidae,N,-0.344968797,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena heathi,Amphisbaenidae,N,-0.258659308,N,"Feldman et al., 2016",
Amphisbaenians,Cynisca haugi,Amphisbaenidae,N,-0.258659308,N,"Feldman et al., 2016",
Amphisbaenians,Cynisca rouxae,Amphisbaenidae,N,-0.258659308,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena maranhensis,Amphisbaenidae,N,-0.244681578,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena carvalhoi,Amphisbaenidae,N,-0.189867031,N,"Feldman et al., 2016",
Amphisbaenians,Chirindia rondoensis,Amphisbaenidae,N,-0.189867031,N,"Feldman et al., 2016",
Amphisbaenians,Cynisca manei,Amphisbaenidae,N,-0.189867031,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena hogei,Amphisbaenidae,N,-0.176428987,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena mensae,Amphisbaenidae,N,-0.176428987,N,"Feldman et al., 2016",
Amphisbaenians,Cynisca bifrontalis,Amphisbaenidae,N,-0.163093918,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena brevis,Amphisbaenidae,N,-0.085160687,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena albocingulata,Amphisbaenidae,N,-0.072504501,N,"Feldman et al., 2016",
Amphisbaenians,Cynisca senegalensis,Amphisbaenidae,N,-0.072504501,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena slateri,Amphisbaenidae,N,-0.059939695,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena miringoera,Amphisbaenidae,N,-0.022780604,N,"Feldman et al., 2016",
Amphisbaenians,Cynisca oligopholis,Amphisbaenidae,N,0.03744056,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena crisae,Amphisbaenidae,N,0.060957378,N,"Feldman et al., 2016",
Amphisbaenians,Agamodon compressus,Trogonophiidae,N,0.065779952,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena neglecta,Amphisbaenidae,N,0.072597675,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena hastata,Amphisbaenidae,N,0.095647257,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena pericensis,Amphisbaenidae,N,0.107058563,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena vanzolinii,Amphisbaenidae,N,0.107058563,N,"Feldman et al., 2016",
Amphisbaenians,Chirindia ewerbecki,Amphisbaenidae,N,0.107058563,N,"Feldman et al., 2016",
Amphisbaenians,Cynisca leonina,Amphisbaenidae,N,0.129659115,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena leeseri,Amphisbaenidae,N,0.140850266,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena lumbricalis,Amphisbaenidae,N,0.140850266,N,"Feldman et al., 2016",
